    PID CMD
    874 avahi-daemon: chroot helper
    758 avahi-daemon: running [osc.local]
   2594 bash
   3376 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
    759 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     52 [ecryptfs-kthread]
   1778 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1664 gdm-session-worker [pam/gdm-password]
   3337 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
     19 [idle_inject/0]
     22 [idle_inject/1]
     42 [irq/9-acpi]
    296 [jbd2/dm-0-8]
    498 [jbd2/sda2-8]
     30 [kauditd]
     35 [kcompactd0]
     27 [kdevtmpfs]
     38 [khugepaged]
     31 [khungtaskd]
     36 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     51 [kswapd0]
      2 [kthreadd]
   3383 [kworker/0:0-events]
     10 [kworker/0:0H-kblockd]
   4791 [kworker/0:1-cgroup_destroy]
     64 [kworker/0:1H]
   5302 [kworker/0:2]
   5089 [kworker/1:0]
     26 [kworker/1:0H-events_highpri]
     50 [kworker/1:1H-kblockd]
   4599 [kworker/1:3-events]
     54 [kworker/R-acpi_]
     44 [kworker/R-ata_s]
     41 [kworker/R-blkcg]
     85 [kworker/R-charg]
    630 [kworker/R-crypt]
     48 [kworker/R-devfr]
     47 [kworker/R-edac-]
    297 [kworker/R-ext4-]
    499 [kworker/R-ext4-]
     28 [kworker/R-inet_]
     62 [kworker/R-ipv6_]
     40 [kworker/R-kbloc]
    254 [kworker/R-kdmfl]
     39 [kworker/R-kinte]
     70 [kworker/R-kstrp]
     53 [kworker/R-kthro]
     45 [kworker/R-md]
     46 [kworker/R-md_bi]
     61 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     56 [kworker/R-scsi_]
     58 [kworker/R-scsi_]
    130 [kworker/R-scsi_]
    133 [kworker/R-scsi_]
    135 [kworker/R-scsi_]
    138 [kworker/R-scsi_]
    143 [kworker/R-scsi_]
    145 [kworker/R-scsi_]
    149 [kworker/R-scsi_]
    151 [kworker/R-scsi_]
    155 [kworker/R-scsi_]
    157 [kworker/R-scsi_]
    161 [kworker/R-scsi_]
    165 [kworker/R-scsi_]
    167 [kworker/R-scsi_]
    169 [kworker/R-scsi_]
    171 [kworker/R-scsi_]
    173 [kworker/R-scsi_]
    175 [kworker/R-scsi_]
